  date         hour 

2015.9.17       7
2015.9.18       11
2015.9.19       12
2015.9.20       10
2015.9.21       8
2015.9.24       6
2015.9.25       8
2015.9.26       12
2015.9.27       12
2015.9.28       6
2015.9.29       3
2015.9.30       3
2015.10.1       6
2015.10.2       7
2015.10.3		9
2015.10.4		7
2015.10.5       9
2015.10.6		6
2015.10.7		6
2015.10.8       10
2015.10.9		4
2015.10.10		9
2015.10.11		10
2015.10.12		6
2015.10.13      4
2015.10.14		6
2015.10.15		8
2015.10.16		10
2015.10.17		9
2015.10.18		5
